# adc8 adc7 adc6 adc5 adc4 adc3 adc2 adc1
    -12893        -63        -75        -97        -20        -41        -87        -46
     14243        -61        -77        -98        -23        -41        -86        -45
     25264        -62        -80        -98        -23        -39        -84        -51
      9147        -60        -77       -100        -24        -38        -85        -47
    -16829        -56        -76        -97        -23        -36        -87        -52
    -25171        -60        -79        -98        -25        -40        -86        -52
     -6366        -64        -76        -99        -25        -42        -85        -45
     19575        -59        -77        -96        -26        -38        -86        -47
     23546        -58        -74        -96        -20        -40        -83        -48
      2371        -66        -76       -101        -26        -37        -86        -49
    -21399        -63        -76        -97        -22        -35        -84        -46
    -22667        -59        -79        -96        -22        -38        -88        -48
       675        -62        -76        -99        -21        -41        -88        -49
     23282        -58        -77       -100        -21        -36        -89        -50
     20044        -61        -77        -95        -20        -36        -82        -50
     -4535        -62        -72        -98        -22        -34        -87        -46
    -24462        -60        -75        -98        -24        -40        -83        -47
    -18398        -58        -77        -94        -23        -38        -84        -45
      7732        -60        -76        -98        -24        -36        -83        -48
     25196        -57        -75        -96        -22        -38        -89        -48
     15129        -63        -80        -97        -23        -40        -85        -49
    -11113        -62        -74        -95        -21        -35        -84        -50
    -25762        -59        -78       -100        -24        -38        -84        -47
    -12896        -57        -80       -100        -27        -40        -85        -45
     14243        -62        -76        -96        -20        -35        -88        -46
     25262        -60        -80        -96        -23        -37        -88        -46
      9145        -63        -70        -97        -21        -38        -86        -49
    -16832        -63        -80        -99        -24        -37        -84        -46
    -25167        -63        -78        -99        -23        -34        -87        -49
     -6371        -56        -75        -95        -23        -40        -85        -45
     19575        -61        -79        -98        -21        -38        -83        -43
     23541        -61        -77        -96        -21        -40        -88        -52
      2369        -58        -76        -99        -22        -42        -88        -47
    -21391        -60        -77        -98        -23        -39        -87        -48
    -22667        -58        -78        -98        -26        -38        -86        -45
       676        -59        -78        -98        -24        -42        -88        -47
     23287        -60        -79        -96        -22        -38        -86        -47
     20043        -61        -79        -94        -20        -36        -83        -47
     -4539        -58        -77        -98        -22        -39        -82        -47
    -24463        -59        -78        -97        -19        -36        -86        -49
    -18401        -60        -80        -97        -22        -35        -87        -44
      7725        -62        -78        -99        -22        -36        -86        -47
     25197        -62        -77       -103        -24        -39        -85        -47
     15129        -63        -78        -98        -20        -40        -84        -53
    -11105        -59        -76        -98        -20        -41        -85        -47
    -25761        -56        -78        -98        -24        -38        -88        -43
    -12892        -56        -77       -101        -21        -35        -88        -44
     14243        -63        -78        -96        -23        -39        -84        -51
     25261        -61        -77        -97        -22        -37        -84        -52
      9139        -63        -72        -95        -23        -39        -85        -49
    -16830        -60        -81        -99        -25        -39        -85        -50
    -25165        -58        -76        -96        -23        -39        -83        -47
     -6364        -57        -73        -98        -26        -37        -83        -44
     19569        -62        -77       -101        -24        -37        -86        -48
     23542        -60        -75        -97        -21        -37        -85        -52
      2368        -55        -77       -100        -21        -40        -84        -50
    -21393        -60        -79       -100        -25        -42        -87        -47
    -22662        -61        -76        -97        -20        -38        -84        -47
       673        -56        -76        -99        -22        -37        -84        -51
